station_cd,station_g_cd,station_name,station_name_k,station_name_r,line_cd,pref_cd,post,add,lon,lat,open_ymd,close_ymd,e_status,e_sort
1130101,1130101,東京,,,11301,13,100-0005,東京都千代田区丸の内一丁目,139.766103,35.681391,,,0,1130101
1130102,1130102,新橋,,,11301,13,105-0004,東京都港区新橋二丁目17,139.758587,35.666195,,,0,1130102
1130103,1130103,品川,,,11301,13,108-0074,東京都港区高輪三丁目26-27,139.738999,35.62876,,,0,1130103
1130104,1130104,川崎,,,11301,14,210-0007,川崎市川崎区駅前本町,139.697485,35.531311,,,0,1130104
1130105,1130105,横浜,,,11301,14,220-0011,横浜市西区高島２丁目,139.622704,35.466195,,,0,1130105
1130106,1130106,戸塚,,,11301,14,244-0003,横浜市戸塚区戸塚町,139.534282,35.400432,,,0,1130106
1130107,1130107,大船,,,11301,14,247-0056,鎌倉市大船１丁目,139.531127,35.353466,,,0,1130107
1130108,1130108,藤沢,,,11301,14,251-0052,藤沢市藤沢,139.487293,35.338882,,,0,1130108
1130109,1130109,辻堂,,,11301,14,251-0047,藤沢市辻堂,139.447106,35.336847,,,0,1130109
1130110,1130110,茅ケ崎,,,11301,14,253-0043,神奈川県茅ヶ崎市元町1-1,139.407197,35.330741,,,0,1130110
1130111,1130111,平塚,,,11301,14,254-0034,平塚市宝町,139.349063,35.327647,,,0,1130111
1130112,1130112,大磯,,,11301,14,255-0004,中郡大磯町東小磯,139.313388,35.311299,,,0,1130112
1130113,1130113,二宮,,,11301,14,259-0123,中郡二宮町二宮,139.256925,35.298644,,,0,1130113
1130114,1130114,国府津,,,11301,14,256-0812,小田原市国府津４丁目,139.212932,35.280832,,,0,1130114
1130115,1130115,鴨宮,,,11301,14,250-0874,小田原市鴨宮,139.180147,35.275744,,,0,1130115
1130116,1130116,小田原,,,11301,14,250-0011,小田原市栄町１丁目,139.155772,35.256225,,,0,1130116
1130117,1130117,早川,,,11301,14,250-0021,小田原市早川１丁目,139.145014,35.238875,,,0,1130117
1130118,1130118,根府川,,,11301,14,250-0024,小田原市根府川,139.138504,35.202455,,,0,1130118
