station_cd,station_g_cd,station_name,station_name_k,station_name_r,line_cd,pref_cd,post,add,lon,lat,open_ymd,close_ymd,e_status,e_sort
1130101,1130101,東京,,,11301,13,100-0005,東京都千代田区丸の内一丁目,139.766103,35.681391,,,0,1130101
1130105,1130105,横浜,,,11301,14,220-0011,横浜市西区高島２丁目,139.622704,35.466195,,,0,1130105
1130205,1130205,渋谷,,,11302,13,150-0043,東京都渋谷区道玄坂一丁目1-1,139.701238,35.658871,1885-03-01,,0,1130205
1130208,1130208,新宿,,,11302,13,160-0022,東京都新宿区新宿三丁目38-1,139.700464,35.689729,1885-03-01,,0,1130208
1130224,1130101,東京,,,11302,13,100-0005,東京都千代田区丸の内一丁目9-1,139.766103,35.681391,1914-12-20,,0,1130224
1130701,1130105,横浜,,,11307,14,220-0011,横浜市西区高島２丁目,139.622704,35.466195,,,0,1130701
1130801,1130101,東京,,,11308,13,100-0005,東京都千代田区丸の内一丁目,139.766103,35.681391,,,0,1130801
1130806,1130105,横浜,,,11308,14,220-0011,横浜市西区高島２丁目,139.622704,35.466195,,,0,1130806
1131101,1130101,東京,,,11311,13,100-0005,東京都千代田区丸の内一丁目,139.766103,35.681391,,,0,1131101
1131103,1130208,新宿,,,11311,13,160-0022,東京都新宿区新宿三丁目38-1,139.700464,35.689729,,,0,1131103
1131201,1130101,東京,,,11312,13,100-0005,東京都千代田区丸の内一丁目,139.766103,35.681391,,,0,1131201
1131211,1130208,新宿,,,11312,13,160-0022,東京都新宿区新宿三丁目38-1,139.700464,35.689729,,,0,1131211
1131310,1130208,新宿,,,11313,13,160-0022,東京都新宿区新宿三丁目38-1,139.700464,35.689729,,,0,1131310
1131401,1130101,東京,,,11314,13,100-0005,東京都千代田区丸の内一丁目,139.766103,35.681391,,,0,1131401
1132103,1130205,渋谷,,,11321,13,150-0043,東京都渋谷区道玄坂一丁目1-1,139.701238,35.658871,,,0,1132103
1132104,1130208,新宿,,,11321,13,160-0022,東京都新宿区新宿三丁目38-1,139.700464,35.689729,,,0,1132104
1132601,1130101,東京,,,11326,13,-,東京都千代田区丸の内一丁目,139.766103,35.681391,,,0,1132601
1132803,1130105,横浜,,,11328,14,220-0011,横浜市西区高島２丁目,139.622704,35.466195,,,0,1132803
1132806,1130208,新宿,,,11328,13,,東京都新宿区新宿三丁目38-1,139.700464,35.689729,,,0,1132806
1132807,1130205,渋谷,,,11328,13,,東京都渋谷区道玄坂一丁目1-1,139.701238,35.658871,,,0,1132807
1132809,1130101,東京,,,11328,13,,東京都千代田区丸の内一丁目,139.766103,35.681391,,,0,1132809
1133222,1130101,東京,,,11332,13,,東京都千代田区丸の内一丁目,139.766103,35.681391,,,0,1133222
1133235,1130105,横浜,,,11332,14,220-0011,横浜市西区高島２丁目,139.622704,35.466195,,,0,1133235
1133304,1130208,新宿,,,11333,13,,東京都新宿区新宿三丁目38-1,139.700464,35.689729,,,0,1133304
1133305,1130205,渋谷,,,11333,13,,東京都渋谷区道玄坂一丁目1-1,139.701238,35.658871,,,0,1133305
1133310,1130105,横浜,,,11333,14,220-0011,横浜市西区高島２丁目,139.622704,35.466195,,,0,1133310
1161503,1161503,日吉,,,11615,26,629-0301,南丹市日吉町保野田,135.503432,35.162151,,,0,1161503
2400101,1130208,新宿,,,24001,13,,東京都新宿区西新宿一丁目1-4,139.699187,35.690163,,,0,2400101
2400601,1130205,渋谷,,,24006,13,-,東京都渋谷区道玄坂一丁目4-1,139.700872,35.6587,,,0,2400601
2500101,1130208,新宿,,,25001,13,,東京都新宿区西新宿一丁目1-3,139.699574,35.691435,,,0,2500101
2600101,1130205,渋谷,,,26001,13,-,東京都渋谷区渋谷二丁目24-1,139.702417,35.659545,,,0,2600101
2600113,2600113,日吉,,,26001,14,223-0061,横浜市港北区日吉２-１-１,139.646944,35.553900,,,0,2600113
2600121,1130105,横浜,,,26001,14,220-0011,横浜市西区高島２丁目,139.622299,35.466372,,,0,2600121
2600213,2600113,日吉,,,26002,14,223-0061,横浜市港北区日吉２-１-１,139.646944,35.553900,,,0,2600213
2600301,1130205,渋谷,,,26003,13,,東京都渋谷区道玄坂二丁目1-1,139.702148,35.65802,,,0,2600301
2600307,2600307,二子玉川,,,26003,13,158-0094,世田谷区玉川２-２２-１３,139.626685,35.611788,,,0,2600307
2600415,2600307,二子玉川,,,26004,13,158-0094,世田谷区玉川２-２２-１３,139.626685,35.611788,,,0,2600415
2700126,1130105,横浜,,,27001,14,220-0011,横浜市西区高島２丁目,139.623055,35.466066,,,0,2700126
2800119,1130205,渋谷,,,28001,13,,東京都渋谷区道玄坂一丁目1-1,139.701,35.659066,,,0,2800119
2800209,1130101,東京,,,28002,13,,東京都千代田区丸の内一丁目,139.764708,35.681753,,,0,2800209
2800218,1130208,新宿,,,28002,13,-,東京都新宿区西新宿一丁目 西口地下街1号,139.700711,35.69235,,,0,2800218
2800801,1130205,渋谷,,,28008,13,,東京都渋谷区道玄坂二丁目1-1,139.701,35.659066,,,0,2800801
2801016,1130205,渋谷,,,28010,13,,東京都渋谷区道玄坂二丁目1-1,139.702417,35.659545,,,0,2801016
2900101,1130105,横浜,,,29001,14,220-0011,横浜市西区高島２丁目,139.621768,35.465852,,,0,2900101
9930128,1130208,新宿,,,99301,13,,東京都渋谷区代々木二丁目1-1,139.698812,35.68869,,,0,9930128
9930401,1130208,新宿,,,99304,13,,東京都新宿区西新宿一丁目18,139.698812,35.68869,,,0,9930401
9931001,1130105,横浜,,,99310,14,220-0011,横浜市西区高島２丁目,139.622299,35.466372,,,0,9931001
9931613,1130105,横浜,,,99316,14,220-0011,横浜市西区高島２丁目,139.619912,35.465826,,,0,9931613
9934310,2600113,日吉,,,99343,14,223-0061,横浜市港北区日吉２-１-１,139.647008,35.553313,,,0,9934310
